incident_id,opened_at,closed_at,priority,state,assignment_group,assigned_to,opened_by_email,stakeholder_emails,team_emails,service,category,short_description,description,business_impact,resolution,location,reopened_count
SAS00001,2026-03-02 09:07,2026-03-02 14:07,Critical,Closed,SRE Platform Team,Priya Nair,sre.oncall@cloudforge-saas.example,engineering@cloudforge-saas.example;devops@cloudforge-saas.example;executive-leadership@cloudforge-saas.example,sre-platform@cloudforge-saas.example;cloud-infrastructure@cloudforge-saas.example,Kubernetes Platform,Infrastructure,Kubernetes node pressure causing pod evictions,Node memory pressure triggered pod evictions in production API namespace.,Enterprise SLA risk increased and customer-facing API availability dropped for high-value tenants.,"Cordon-drained affected nodes, increased reserved capacity and tuned autoscaler thresholds.",us-east-1,1
SAS00002,2026-03-03 11:14,,High,In Progress,API Reliability Team,Noah Kim,enterprise.success@cloudforge-saas.example,customer-success@cloudforge-saas.example;enterprise-accounts@cloudforge-saas.example;product@cloudforge-saas.example,api-reliability@cloudforge-saas.example;observability@cloudforge-saas.example,Public API Gateway,API,API latency above enterprise SLA,API p95 latency increased after downstream entitlement service slowed during subscription sync.,Enterprise integrations degraded and Customer Success is preparing SLA communication.,API reliability is monitoring latency while entitlement service capacity is expanded.,Global API Edge,1
SAS00003,2026-03-04 10:21,2026-03-04 18:21,High,Closed,Identity Platform,Sara Lind,support.ops@cloudforge-saas.example,product@cloudforge-saas.example;security@cloudforge-saas.example;customer-success@cloudforge-saas.example,identity-platform@cloudforge-saas.example;security-engineering@cloudforge-saas.example,OAuth Identity,Identity,OAuth token exchange fails for SSO tenants,SSO tenants with rotated SAML certificates were not synchronized to identity cache.,"Enterprise administrators could not access tenant configuration, increasing escalation risk.","Refreshed identity cache, patched certificate sync and validated token exchange.",Enterprise Tenant Pool,0
SAS00004,2026-03-05 14:28,2026-03-06 08:28,High,Closed,API Reliability Team,Victor Chen,product.ops@cloudforge-saas.example,customer-success@cloudforge-saas.example;enterprise-accounts@cloudforge-saas.example;finance@cloudforge-saas.example,api-reliability@cloudforge-saas.example;billing-engineering@cloudforge-saas.example,Public API Gateway,API,Enterprise billing API timeout recurring during metering sync,API timeout occurred again when billing metering sync waited on overloaded entitlement data.,Enterprise customers experienced delayed billing data and support risk increased for strategic accounts.,Scaled API dependency capacity and replayed delayed billing API responses after validation.,Revenue Operations,1
SAS00005,2026-03-06 15:35,,High,Open,API Reliability Team,Mina Alvarez,enterprise.success@cloudforge-saas.example,customer-success@cloudforge-saas.example;enterprise-accounts@cloudforge-saas.example;product@cloudforge-saas.example,api-reliability@cloudforge-saas.example;analytics-engineering@cloudforge-saas.example,Public API Gateway,API,API timeout recurring for analytics dashboard requests,API timeout occurred again when analytics dashboard requests waited on stale warehouse partitions.,Customer-facing dashboards were degraded and enterprise users lost trust in reporting freshness.,API reliability and analytics engineering are isolating slow dashboard routes and rebuilding partitions.,Data Warehouse,1
SAS00006,2026-03-07 13:42,2026-03-07 23:42,High,Closed,SRE Platform Team,Alex Morgan,sre.oncall@cloudforge-saas.example,engineering@cloudforge-saas.example;devops@cloudforge-saas.example;product@cloudforge-saas.example,sre-platform@cloudforge-saas.example;developer-experience@cloudforge-saas.example,Kubernetes Platform,Infrastructure,Deployment pods evicted again during release pipeline,Similar pod eviction issue happened again when CI/CD release workers triggered CPU pressure in production cluster.,Engineering delivery slowed and urgent customer fixes could not be promoted safely.,Moved release workers away from production node pool and added deployment capacity guardrail.,CI Platform,1
SAS00007,2026-03-09 08:49,,Critical,Open,Core Platform Engineering,Julia Stein,sre.oncall@cloudforge-saas.example,enterprise-accounts@cloudforge-saas.example;security@cloudforge-saas.example;executive-leadership@cloudforge-saas.example,core-platform@cloudforge-saas.example;security-engineering@cloudforge-saas.example,Multi-tenant Data Plane,Tenant Isolation,Tenant routing mismatch detected in background jobs,Background job router sent tenant jobs to shared worker pool with insufficient isolation tags.,Enterprise confidence risk increased due to tenant-isolation warnings and delayed processing.,Core platform and security are validating routing evidence before customer communication.,Global Data Plane,2
SAS00008,2026-03-10 16:01,2026-03-11 12:01,Low,Closed,Observability Team,Owen Patel,support.ops@cloudforge-saas.example,engineering@cloudforge-saas.example;devops@cloudforge-saas.example,observability@cloudforge-saas.example;sre-platform@cloudforge-saas.example,Monitoring Platform,Observability,Alert noise spike after dashboard rule deploy,New alert rule generated duplicate notifications for healthy API shards.,On-call productivity decreased but customer-facing services remained available.,Deduplicated alert rule and added peer review for high-cardinality monitors.,Monitoring Stack,0
SAS00009,2026-03-12 07:08,2026-03-12 14:08,High,Closed,SRE Platform Team,Priya Nair,sre.oncall@cloudforge-saas.example,engineering@cloudforge-saas.example;enterprise-accounts@cloudforge-saas.example;executive-leadership@cloudforge-saas.example,sre-platform@cloudforge-saas.example;core-platform@cloudforge-saas.example,Kubernetes Platform,Infrastructure,Worker pod pressure recurring from noisy tenant jobs,Recurring pod pressure appeared again after a noisy tenant increased shared background workload.,SLA risk grew for multiple tenants because shared background processing slowed.,Applied tenant-specific throttling and expanded shared worker capacity.,Enterprise Tenant Pool,1
SAS00010,2026-03-14 11:15,2026-03-15 02:15,High,Closed,API Reliability Team,Noah Kim,enterprise.success@cloudforge-saas.example,customer-success@cloudforge-saas.example;enterprise-accounts@cloudforge-saas.example;product@cloudforge-saas.example,api-reliability@cloudforge-saas.example;observability@cloudforge-saas.example,Public API Gateway,API,Webhook API retries recurring for enterprise tenants,API timeout and webhook delivery delay happened again as retry queues accumulated for enterprise tenants.,Customer automation workflows were delayed for integration-heavy enterprise accounts.,Increased webhook worker concurrency and prioritized enterprise retry queues.,eu-west-1,1
